20975;0;25;0;0;0;0;0;0;0;0;0;0;0;
20975;0;18,3;0,9;6,7;0,9;0;0;0;0;0;0;0;0;
20974,9;0,3;12,5;3,17017;11,6;4,12795;0,2;0,4;0,8;0,87178;0;0;0;0;
20974,4;0,663325;9;4,14729;14,2;4,57821;0,5;0,67082;1,9;1,04403;0;0;0;0;
20973,7;1,00499;7,6;3,35261;14;4,26615;1;1,26491;3,6;1,8;0;0;0,1;0,3;
20972,5;1,74642;5,7;2,19317;14,5;3,32415;1,7;1,26886;5,2;2,67582;0;0;0,4;0,489898;
20971,6;1,8;5;1,26491;13,8;2,92575;1,7;1,26886;7,2;3,09192;0;0;0,7;0,9;
20970,2;2,27156;4,7;1,79165;13,1;2,87924;1,8;0,748331;9,3;2,6096;0;0;0,9;1,13578;
20969,2;2,6;3,9;1,86815;12,7;2,49199;2,1;0,7;10,9;2,50799;0;0;1,2;0,979796;
20967,8;2,92575;4,4;1,74356;11,5;2,57876;2,4;1,68523;12,2;2,56125;0;0;1,7;1,26886;
20966,6;3,2619;4,5;1,9105;10,7;1,48661;2,2;1,66132;14;3,06594;0;0;2;1,34164;
20965,7;3,71618;4,1;1,75784;10,8;1,4;1,9;1,64012;15;3,06594;0;0;2,5;1,43178;
20964;4,26615;4,8;2,63818;9,8;2,35797;2,1;1,64012;16,7;3,79605;0;0;2,6;1,35647;
20962;3,87298;4,7;1,73494;10,4;3,2;2,5;1,28452;17,5;4,29535;0;0;2,9;1,3;
20960;3,84708;4,9;1,81384;9,5;2,45967;2,5;1,11803;19,6;4,34051;0;0;3,5;1,36015;
20958,2;4,37721;5,4;1,74356;9,3;2,72213;2,1;1,51327;20,5;4,34166;0;0;4,5;1,68819;
20955,9;5,78705;6;3,19374;9,6;3,82623;1,6;1,11355;21,6;4,67333;0;0;5,3;1,9;
20954,7;6,06712;4,6;2,57682;10,7;3,68917;1,4;1,28062;22,9;4,94874;0,1;0,3;5,6;1,95959;
20953,4;6,11882;5,1;2,66271;10,1;3,41906;1,1;1,04403;24,2;5,0951;0,1;0,3;6;2;
20951,9;6,3;4,8;2,03961;9,3;3,92556;1,3;1,26886;26,5;4,94469;0,1;0,3;6,1;2,07123;
20949,8;6,72012;5,6;2,15407;9,1;4,41475;1,4;1,35647;27,7;5,1;0,1;0,3;6,3;1,95192;
20948,4;7,01712;5,5;2,57876;9,3;4,67012;1,2;1,16619;28,5;5,33385;0,1;0,3;7;2,28035;
20947,4;7,01712;4,7;1,9;9,7;3,52278;1,2;1,32665;29,6;5,35164;0,2;0,4;7,2;2,44131;
20945,7;7,62955;4,8;2,03961;10;3,09839;1,2;1,16619;30,6;5,004;0,3;0,458258;7,4;2,57682;
